Episode,Score
4750,260.0
4751,175.0
4752,345.0
4753,245.0
4754,175.0
4755,310.0
4756,215.0
4757,475.0
4758,345.0
4759,105.0
4760,310.0
4761,185.0
4762,380.0
4763,325.0
4764,500.0
4765,420.0
4766,120.0
4767,315.0
4768,240.0
4769,215.0
4770,225.0
4771,165.0
4772,520.0
4773,180.0
4774,405.0
4775,90.0
4776,255.0
4777,310.0
4778,165.0
4779,165.0
4780,520.0
4781,125.0
4782,320.0
4783,275.0
4784,295.0
4785,150.0
4786,725.0
4787,135.0
4788,145.0
4789,110.0
4790,160.0
4791,410.0
4792,290.0
4793,265.0
4794,260.0
4795,190.0
4796,665.0
4797,240.0
4798,120.0
4799,75.0
4800,210.0
4801,220.0
4802,390.0
4803,205.0
4804,445.0
4805,380.0
4806,210.0
4807,230.0
4808,130.0
4809,365.0
4810,290.0
4811,425.0
4812,210.0
4813,190.0
4814,675.0
4815,225.0
4816,50.0
4817,250.0
4818,100.0
4819,160.0
4820,690.0
4821,370.0
4822,195.0
4823,470.0
4824,170.0
4825,235.0
4826,565.0
4827,315.0
4828,220.0
4829,215.0
4830,275.0
4831,165.0
4832,305.0
4833,385.0
4834,315.0
4835,210.0
4836,575.0
4837,380.0
4838,395.0
4839,320.0
4840,395.0
4841,195.0
4842,165.0
4843,195.0
4844,505.0
4845,380.0
4846,210.0
4847,185.0
4848,230.0
4849,345.0
4850,285.0
4851,140.0
4852,155.0
4853,150.0
4854,600.0
4855,160.0
4856,230.0
4857,495.0
4858,250.0
4859,165.0
4860,130.0
4861,490.0
4862,595.0
4863,335.0
4864,270.0
4865,110.0
4866,260.0
4867,290.0
4868,260.0
4869,55.0
4870,260.0
4871,375.0
4872,215.0
4873,320.0
4874,220.0
4875,150.0
4876,165.0
4877,170.0
4878,270.0
4879,110.0
4880,240.0
4881,210.0
4882,120.0
4883,255.0
4884,185.0
4885,225.0
4886,220.0
4887,235.0
4888,365.0
4889,485.0
4890,225.0
4891,515.0
4892,220.0
4893,105.0
4894,185.0
4895,545.0
4896,460.0
4897,220.0
4898,125.0
4899,135.0
4900,285.0
4901,975.0
4902,155.0
4903,210.0
4904,160.0
4905,295.0
4906,110.0
4907,90.0
4908,205.0
4909,145.0
4910,145.0
4911,210.0
4912,220.0
4913,215.0
4914,155.0
4915,655.0
4916,135.0
4917,340.0
4918,170.0
4919,320.0
4920,300.0
4921,210.0
4922,320.0
4923,605.0
4924,280.0
4925,195.0
4926,525.0
4927,470.0
4928,425.0
4929,600.0
4930,640.0
4931,170.0
4932,525.0
4933,250.0
4934,220.0
4935,600.0
4936,120.0
4937,190.0
4938,265.0
4939,285.0
4940,390.0
4941,370.0
4942,220.0
4943,455.0
4944,115.0
4945,235.0
4946,335.0
4947,175.0
4948,230.0
4949,345.0
4950,275.0
4951,160.0
4952,125.0
4953,150.0
4954,95.0
4955,330.0
4956,325.0
4957,125.0
4958,185.0
4959,185.0
4960,90.0
4961,175.0
4962,470.0
4963,515.0
4964,185.0
4965,235.0
4966,250.0
4967,140.0
4968,360.0
4969,405.0
4970,275.0
4971,275.0
4972,195.0
4973,290.0
4974,320.0
4975,125.0
4976,435.0
4977,140.0
4978,490.0
4979,415.0
4980,190.0
4981,320.0
4982,145.0
4983,355.0
4984,200.0
4985,495.0
4986,350.0
4987,255.0
4988,370.0
4989,160.0
4990,355.0
4991,350.0
4992,460.0
4993,275.0
4994,210.0
4995,300.0
4996,655.0
4997,525.0
4998,100.0
4999,565.0
5000,110.0
5001,455.0
5002,285.0
5003,480.0
5004,130.0
5005,510.0
5006,440.0
5007,210.0
5008,75.0
5009,620.0
5010,805.0
5011,205.0
5012,150.0
5013,210.0
5014,210.0
5015,160.0
5016,335.0
5017,210.0
5018,265.0
5019,450.0
5020,245.0
5021,365.0
5022,220.0
5023,80.0
5024,185.0
5025,480.0
5026,640.0
5027,210.0
5028,170.0
5029,510.0
5030,615.0
5031,545.0
5032,290.0
5033,135.0
5034,105.0
5035,320.0
5036,285.0
5037,465.0
5038,1045.0
5039,345.0
5040,325.0
5041,215.0
5042,155.0
5043,570.0
5044,215.0
5045,155.0
5046,410.0
5047,95.0
5048,60.0
5049,460.0
5050,240.0
5051,150.0
5052,315.0
5053,185.0
5054,195.0
5055,340.0
5056,195.0
5057,145.0
5058,110.0
5059,330.0
5060,260.0
5061,170.0
5062,285.0
5063,210.0
5064,330.0
5065,340.0
5066,295.0
5067,245.0
5068,410.0
5069,590.0
5070,65.0
5071,425.0
5072,605.0
5073,505.0
5074,240.0
5075,465.0
5076,180.0
5077,300.0
5078,285.0
5079,185.0
5080,360.0
5081,360.0
5082,380.0
5083,270.0
5084,230.0
5085,360.0
5086,75.0
5087,390.0
5088,235.0
5089,245.0
5090,160.0
5091,75.0
5092,215.0
5093,435.0
5094,365.0
5095,140.0
5096,210.0
5097,180.0
5098,315.0
5099,290.0
5100,155.0
5101,350.0
5102,595.0
5103,355.0
5104,275.0
5105,245.0
5106,240.0
5107,330.0
5108,560.0
5109,285.0
5110,225.0
5111,240.0
5112,435.0
5113,270.0
5114,315.0
5115,315.0
5116,155.0
5117,190.0
5118,395.0
5119,300.0
5120,370.0
5121,585.0
5122,360.0
5123,160.0
5124,500.0
5125,250.0
5126,375.0
5127,180.0
5128,335.0
5129,255.0
5130,305.0
5131,390.0
5132,225.0
5133,290.0
5134,325.0
5135,160.0
5136,310.0
5137,230.0
5138,190.0
5139,335.0
5140,340.0
5141,495.0
5142,225.0
5143,580.0
5144,490.0
5145,465.0
5146,210.0
5147,595.0
5148,315.0
5149,310.0
5150,110.0
5151,140.0
5152,345.0
5153,525.0
5154,310.0
5155,245.0
5156,320.0
5157,160.0
5158,410.0
5159,495.0
5160,225.0
5161,335.0
5162,420.0
5163,515.0
5164,115.0
5165,125.0
5166,360.0
5167,275.0
5168,360.0
5169,280.0
5170,215.0
5171,550.0
5172,280.0
5173,260.0
5174,140.0
5175,265.0
5176,320.0
5177,125.0
5178,290.0
5179,185.0
5180,365.0
5181,330.0
5182,210.0
5183,185.0
5184,545.0
5185,480.0
5186,350.0
5187,275.0
5188,480.0
5189,290.0
5190,240.0
5191,695.0
5192,390.0
5193,200.0
5194,695.0
5195,490.0
5196,235.0
5197,395.0
5198,400.0
5199,530.0
5200,235.0
5201,580.0
5202,345.0
5203,315.0
5204,215.0
5205,465.0
5206,295.0
5207,270.0
5208,140.0
5209,245.0
5210,445.0
5211,505.0
5212,390.0
5213,375.0
5214,145.0
5215,210.0
5216,305.0
5217,325.0
5218,555.0
5219,245.0
5220,380.0
5221,360.0
5222,265.0
5223,260.0
5224,255.0
5225,110.0
5226,265.0
5227,400.0
5228,510.0
5229,485.0
5230,440.0
5231,270.0
5232,270.0
5233,380.0
5234,480.0
5235,215.0
5236,130.0
5237,95.0
5238,530.0
5239,65.0
5240,365.0
5241,215.0
5242,335.0
5243,200.0
5244,315.0
5245,310.0
5246,490.0
5247,265.0
5248,780.0
5249,350.0
5250,285.0
5251,155.0
5252,315.0
5253,185.0
5254,330.0
5255,185.0
5256,180.0
5257,315.0
5258,290.0
5259,355.0
5260,155.0
5261,185.0
5262,315.0
5263,215.0
5264,110.0
5265,350.0
5266,125.0
5267,715.0
5268,290.0
5269,320.0
5270,510.0
5271,225.0
5272,180.0
5273,545.0
5274,380.0
5275,285.0
5276,155.0
5277,165.0
5278,165.0
5279,350.0
5280,300.0
5281,305.0
5282,410.0
5283,275.0
5284,240.0
5285,185.0
5286,210.0
5287,225.0
5288,420.0
5289,200.0
5290,385.0
5291,670.0
5292,405.0
5293,380.0
5294,325.0
5295,610.0
5296,275.0
5297,245.0
5298,140.0
5299,265.0
5300,525.0
5301,240.0
5302,130.0
5303,105.0
5304,290.0
5305,270.0
5306,310.0
5307,305.0
5308,210.0
5309,500.0
